family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float16,2048,2048,,1,20979712,54534144,0.417,,84,,,0,,4294967296,,2,,,,,512.0,,,1.21,,0.2734,,0.3308,0.4167,96,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float32,2048,2048,,1,25174016,58728448,0.25,,96,,,0,,4294967296,,2,,,,,512.0,,,1.096,,0.5458,,0.598,0.25,96,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float16,2048,2048,,1,20979712,54534144,0.167,,232,,,0,,4294967296,,2,,,,,512.0,,,1.187,,0.2872,,0.341,0.1667,228,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x512,contraction,pointwise,float32,2048,2048,,1,25174016,58728448,0.083,,255,,,0,,4294967296,,2,,,,,512.0,,,1.112,,0.596,,0.6625,0.0833,255,,,2,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float16,2048,2048,,1,33562624,67117056,0.417,,84,,,0,,17179869184,,2,,,,,2048.0,,,1.096,,1.0199,,1.1182,0.4167,96,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float32,2048,2048,,1,50339840,83894272,0.25,,96,,,0,,17179869184,,2,,,,,2048.0,,,1.049,,2.1069,,2.2093,0.25,96,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float16,2048,2048,,1,33562624,67117056,0.167,,232,,,0,,17179869184,,2,,,,,2048.0,,,1.051,,1.0455,,1.0993,0.1667,228,,,0,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_2048x2048x2048,contraction,pointwise,float32,2048,2048,,1,50339840,83894272,0.083,,255,,,0,,17179869184,,2,,,,,2048.0,,,1.057,,2.2098,,2.3357,0.0833,255,,,2,2,1,2048.0,2048.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float16,4096,4096,,1,75513856,209731584,0.417,,84,,,0,,17179869184,,2,,,,,512.0,,,1.806,,1.1259,,2.0332,0.4167,96,,,0,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float32,4096,4096,,1,83902464,218120192,0.25,,96,,,0,,17179869184,,2,,,,,512.0,,,1.23,,2.4842,,3.0566,0.25,96,,,0,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float16,4096,4096,,1,75513856,209731584,0.167,,232,,,0,,17179869184,,2,,,,,512.0,,,1.468,,1.2447,,1.8268,0.1667,228,,,0,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_4096x4096x512,contraction,pointwise,float32,4096,4096,,1,83902464,218120192,0.083,,255,,,0,,17179869184,,2,,,,,512.0,,,1.269,,2.3055,,2.9266,0.0833,255,,,2,2,1,4096.0,4096.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float16,1024,1024,,1,20975616,29364224,0.417,,84,,,0,,8589934592,,2,,,,,4096.0,,,1.052,,0.5315,,0.5591,0.4167,96,,,0,2,1,1024.0,1024.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float32,1024,1024,,0,37752832,46141440,0.25,,96,,,0,,8589934592,,2,,,,,4096.0,,,0.973,,1.1377,,1.1069,0.25,96,,,0,2,1,1024.0,1024.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float16,1024,1024,,0,20975616,29364224,0.167,,232,,,0,,8589934592,,2,,,,,4096.0,,,0.957,,0.6164,,0.5898,0.1667,228,,,0,2,1,1024.0,1024.0
gemm_epilogue,gemm_epi_1024x1024x4096,contraction,pointwise,float32,1024,1024,,1,37752832,46141440,0.083,,255,,,0,,8589934592,,2,,,,,4096.0,,,1.028,,1.195,,1.2288,0.0833,255,,,2,2,1,1024.0,1024.0
