family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
reduction,sibling_redux_n64,pointwise,reduction,float16,2048,2048,58.5143,0,9175040,34340864,0.25,regs,256,5120.0,1.0,524,256.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.4316,10.79936,10.82701,4.6592,4.67302,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,2048,2048,30.1176,0,17825792,68157440,0.25,regs,256,4608.0,1.0,524,256.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.2699,10.55514,10.59174,2.85696,2.85875,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,2048,2048,107.7895,0,9961472,68681728,0.25,regs,256,5120.0,1.0,844,256.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.374,24.98611,25.06355,9.34835,9.37306,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,2048,2048,56.8889,0,18874368,136314880,0.25,regs,256,4608.0,1.0,848,256.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.2323,24.48307,24.60454,5.7111,5.71443,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float16,4096,1024,29.8978,1,8978432,17367040,0.25,regs,256,4608.0,1.0,100,256.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,1.1005,1.54394,1.55123,1.70266,1.70714,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n32,pointwise,reduction,float32,4096,1024,15.3985,0,17432576,34209792,0.25,regs,256,4608.0,1.0,100,256.0,268435456,0.0,2,,32.0,32.0,16.0,,32.0,4.0,0.7446,1.63302,1.64339,1.22086,1.22368,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float16,4096,1024,56.1096,0,9568256,34734080,0.25,regs,256,5120.0,1.0,524,256.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.5023,6.71898,6.78758,3.39891,3.40928,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n64,pointwise,reduction,float32,4096,1024,29.6812,0,18087936,68419584,0.25,regs,256,4608.0,1.0,524,256.0,536870912,0.0,4,,32.0,32.0,16.0,,64.0,4.0,0.3646,6.5815,6.68198,2.43046,2.4361,0.25,236,4608.0,0.0,0,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float16,4096,1024,99.9024,0,10747904,69468160,0.25,regs,256,5120.0,1.0,844,256.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.4487,15.05306,15.16224,6.78886,6.80256,0.25,256,2304.0,1.0,52,1,1,,
reduction,sibling_redux_n128,pointwise,reduction,float32,4096,1024,55.3514,0,19398656,136839168,0.25,regs,256,4608.0,1.0,848,256.0,1073741824,0.0,8,,32.0,32.0,16.0,,128.0,4.0,0.3265,14.81037,14.8823,4.85171,4.85901,0.25,236,4608.0,0.0,0,1,1,,
